Category,Year,Recipients_000,Median_Salary,Mean_Salary,Age_Midpoint
15-19,2010,240.8,650.0,713.0,17.0
15-19,2011,258.1,730.0,765.0,17.0
15-19,2012,255.9,700.0,776.0,17.0
15-19,2013,242.8,800.0,867.0,17.0
15-19,2014,253.9,900.0,898.0,17.0
15-19,2015,243.2,900.0,988.0,17.0
15-19,2016,229.0,900.0,1038.0,17.0
15-19,2017,227.5,1180.0,1323.0,17.0
15-19,2018,239.2,1423.0,1429.0,17.0
15-19,2019,274.6,1450.0,1546.0,17.0
15-19,2020,278.5,1213.0,1408.0,17.0
15-19,2021,287.2,1437.0,1465.0,17.0
15-19,2022,293.8,1452.0,1638.0,17.0
15-19,2023,276.9,1529.0,1879.0,17.0
15-19,2024,257.8,1650.0,2161.0,17.0
20-24,2010,1114.3,1000.0,1172.0,22.0
20-24,2011,1135.1,1000.0,1181.0,22.0
20-24,2012,1099.0,1000.0,1226.0,22.0
20-24,2013,1162.2,1100.0,1307.0,22.0
20-24,2014,1160.7,1200.0,1352.0,22.0
20-24,2015,1137.8,1200.0,1401.0,22.0
20-24,2016,1124.8,1200.0,1494.0,22.0
20-24,2017,1150.5,1400.0,1643.0,22.0
20-24,2018,1153.7,1569.0,1780.0,22.0
20-24,2019,1196.0,1577.0,1850.0,22.0
20-24,2020,1067.0,1343.0,1564.0,22.0
20-24,2021,1120.7,1434.0,1640.0,22.0
20-24,2022,1134.8,1491.0,1780.0,22.0
20-24,2023,1093.8,1593.0,2061.0,22.0
20-24,2024,1114.5,1699.0,2255.0,22.0
25-29,2010,1495.0,1500.0,1717.0,27.0
25-29,2011,1601.8,1500.0,1725.0,27.0
25-29,2012,1607.4,1500.0,1806.0,27.0
25-29,2013,1601.8,1650.0,1912.0,27.0
25-29,2014,1652.2,1700.0,1985.0,27.0
25-29,2015,1638.0,1800.0,2082.0,27.0
25-29,2016,1645.5,1865.0,2166.0,27.0
25-29,2017,1664.2,2000.0,2256.0,27.0
25-29,2018,1650.8,2112.0,2359.0,27.0
25-29,2019,1705.1,2206.0,2586.0,27.0
25-29,2020,1486.8,1804.0,2212.0,27.0
25-29,2021,1536.9,1656.0,2289.0,27.0
25-29,2022,1593.8,1909.0,2490.0,27.0
25-29,2023,1618.5,2076.0,2746.0,27.0
25-29,2024,1653.6,2095.0,2946.0,27.0
30-34,2010,1112.4,1795.0,2036.0,32.0
30-34,2011,1246.8,1740.0,2049.0,32.0
30-34,2012,1285.6,1800.0,2124.0,32.0
30-34,2013,1350.8,2000.0,2276.0,32.0
30-34,2014,1483.5,2000.0,2469.0,32.0
30-34,2015,1505.4,2180.0,2532.0,32.0
30-34,2016,1494.2,2230.0,2697.0,32.0
30-34,2017,1563.3,2365.0,2846.0,32.0
30-34,2018,1547.6,2474.0,3056.0,32.0
30-34,2019,1589.6,2672.0,3269.0,32.0
30-34,2020,1548.3,2349.0,2826.0,32.0
30-34,2021,1549.2,2417.0,2999.0,32.0
30-34,2022,1619.0,2564.0,3123.0,32.0
30-34,2023,1643.1,2702.0,3297.0,32.0
30-34,2024,1670.2,2850.0,3381.0,32.0
35-39,2010,938.2,1805.0,2306.0,37.0
35-39,2011,968.5,1865.0,2291.0,37.0
35-39,2012,1009.9,2000.0,2377.0,37.0
35-39,2013,1015.1,2000.0,2504.0,37.0
35-39,2014,1083.1,2213.0,2811.0,37.0
35-39,2015,1082.1,2350.0,2811.0,37.0
35-39,2016,1133.3,2500.0,3113.0,37.0
35-39,2017,1183.3,2500.0,3259.0,37.0
35-39,2018,1240.4,2633.0,3476.0,37.0
35-39,2019,1331.6,2893.0,3644.0,37.0
35-39,2020,1499.4,2734.0,3328.0,37.0
35-39,2021,1571.8,2791.0,3424.0,37.0
35-39,2022,1585.8,2956.0,3556.0,37.0
35-39,2023,1616.7,3119.0,3765.0,37.0
35-39,2024,1619.9,3188.0,4013.0,37.0
40-44,2010,776.6,1800.0,2287.0,42.0
40-44,2011,834.3,1820.0,2367.0,42.0
40-44,2012,854.0,2000.0,2495.0,42.0
40-44,2013,836.0,2000.0,2595.0,42.0
40-44,2014,898.7,2261.0,2925.0,42.0
40-44,2015,911.5,2470.0,3028.0,42.0
40-44,2016,925.4,2500.0,3218.0,42.0
40-44,2017,947.0,2600.0,3650.0,42.0
40-44,2018,957.8,2738.0,4002.0,42.0
40-44,2019,1016.7,2996.0,4005.0,42.0
40-44,2020,1205.9,3013.0,3755.0,42.0
40-44,2021,1325.6,3154.0,3815.0,42.0
40-44,2022,1381.7,3330.0,4025.0,42.0
40-44,2023,1433.3,3381.0,4241.0,42.0
40-44,2024,1474.7,3481.0,4395.0,42.0
45-49,2010,674.0,1918.0,2495.0,47.0
45-49,2011,714.0,1994.0,2440.0,47.0
45-49,2012,723.8,2000.0,2573.0,47.0
45-49,2013,716.0,2115.0,2794.0,47.0
45-49,2014,776.3,2300.0,3085.0,47.0
45-49,2015,751.3,2500.0,3214.0,47.0
45-49,2016,778.9,2500.0,3366.0,47.0
45-49,2017,794.1,2500.0,3708.0,47.0
45-49,2018,807.5,2617.0,3949.0,47.0
45-49,2019,858.6,2875.0,4109.0,47.0
45-49,2020,960.7,2733.0,3698.0,47.0
45-49,2021,1022.5,3005.0,3827.0,47.0
45-49,2022,992.0,3198.0,4107.0,47.0
45-49,2023,1005.3,3387.0,4237.0,47.0
45-49,2024,1018.1,3427.0,4517.0,47.0
50-54,2010,510.7,2000.0,2532.0,52.0
50-54,2011,538.2,2000.0,2537.0,52.0
50-54,2012,566.0,2000.0,2750.0,52.0
50-54,2013,581.5,2200.0,2839.0,52.0
50-54,2014,624.6,2500.0,3052.0,52.0
50-54,2015,605.1,2500.0,3294.0,52.0
50-54,2016,629.3,2600.0,3418.0,52.0
50-54,2017,634.4,2750.0,3778.0,52.0
50-54,2018,650.1,2845.0,4111.0,52.0
50-54,2019,672.8,3095.0,4125.0,52.0
50-54,2020,778.6,2713.0,3785.0,52.0
50-54,2021,742.8,3045.0,3776.0,52.0
50-54,2022,762.8,3132.0,3977.0,52.0
50-54,2023,769.3,3161.0,4161.0,52.0
50-54,2024,773.7,3140.0,4495.0,52.0
55-59,2010,214.1,1700.0,2327.0,57.0
55-59,2011,249.5,1782.0,2557.0,57.0
55-59,2012,280.5,1800.0,2346.0,57.0
55-59,2013,306.4,2000.0,2875.0,57.0
55-59,2014,346.9,2100.0,2902.0,57.0
55-59,2015,365.9,2500.0,3396.0,57.0
55-59,2016,363.5,2600.0,3692.0,57.0
55-59,2017,399.2,2845.0,3983.0,57.0
55-59,2018,402.0,3026.0,4098.0,57.0
55-59,2019,424.2,3096.0,4137.0,57.0
55-59,2020,483.4,2630.0,3716.0,57.0
55-59,2021,482.9,3002.0,3810.0,57.0
55-59,2022,480.2,2930.0,3933.0,57.0
55-59,2023,490.0,2937.0,4098.0,57.0
55-59,2024,490.7,3140.0,4463.0,57.0
60-64,2010,73.3,950.0,1588.0,62.0
60-64,2011,87.7,1000.0,1792.0,62.0
60-64,2012,101.0,1100.0,1770.0,62.0
60-64,2013,90.5,1200.0,1803.0,62.0
60-64,2014,112.6,1260.0,2039.0,62.0
60-64,2015,108.2,1400.0,2376.0,62.0
60-64,2016,100.2,1500.0,2473.0,62.0
60-64,2017,113.6,1800.0,3044.0,62.0
60-64,2018,112.0,2098.0,3300.0,62.0
60-64,2019,125.9,2272.0,3320.0,62.0
60-64,2020,147.4,1733.0,2675.0,62.0
60-64,2021,129.2,2037.0,2802.0,62.0
60-64,2022,152.7,2135.0,2967.0,62.0
60-64,2023,158.6,2320.0,3182.0,62.0
60-64,2024,165.2,2489.0,3373.0,62.0
