Category,Year,Recipients_000,Median_Salary,Mean_Salary
No formal education,2010,78.4,621.0,759.0
Primary,2010,643.8,890.0,1069.0
Secondary,2010,4147.5,1250.0,1480.0
Tertiary,2010,2279.5,2550.0,3050.0
No formal education,2011,68.5,600.0,735.0
Primary,2011,649.1,900.0,1096.0
Secondary,2011,4505.0,1290.0,1506.0
Tertiary,2011,2411.5,2650.0,3070.0
No formal education,2012,85.0,750.0,835.0
Primary,2012,660.3,980.0,1137.0
Secondary,2012,4484.2,1300.0,1562.0
Tertiary,2012,2553.4,2743.0,3189.0
No formal education,2013,62.9,800.0,876.0
Primary,2013,580.5,1000.0,1205.0
Secondary,2013,4641.9,1491.0,1680.0
Tertiary,2013,2617.8,2945.0,3331.0
No formal education,2014,58.0,850.0,950.0
Primary,2014,618.3,1100.0,1327.0
Secondary,2014,4791.5,1500.0,1772.0
Tertiary,2014,2924.6,3000.0,3619.0
No formal education,2015,73.6,900.0,979.0
Primary,2015,572.3,1110.0,1381.0
Secondary,2015,4640.3,1500.0,1817.0
Tertiary,2015,3062.3,3090.0,3746.0
No formal education,2016,63.9,960.0,1192.0
Primary,2016,531.6,1206.0,1451.0
Secondary,2016,4703.3,1650.0,1921.0
Tertiary,2016,3125.2,3300.0,4000.0
No formal education,2017,54.4,1100.0,1410.0
Primary,2017,491.6,1400.0,1649.0
Secondary,2017,4867.6,1750.0,2055.0
Tertiary,2017,3263.5,3400.0,4320.0
No formal education,2018,55.7,1166.0,1481.0
Primary,2018,493.5,1518.0,1821.0
Secondary,2018,4844.5,1850.0,2215.0
Tertiary,2018,3367.6,3648.0,4553.0
No formal education,2019,57.8,1436.0,1608.0
Primary,2019,470.3,1560.0,1929.0
Secondary,2019,5107.3,1955.0,2372.0
Tertiary,2019,3559.8,3901.0,4643.0
No formal education,2020,59.6,1274.0,1500.0
Primary,2020,398.3,1289.0,1646.0
Secondary,2020,5179.8,1647.0,2144.0
Tertiary,2020,3818.3,3477.0,4212.0
No formal education,2021,54.2,1349.0,1391.0
Primary,2021,324.9,1428.0,1689.0
Secondary,2021,5263.6,1678.0,2191.0
Tertiary,2021,4126.3,3877.0,4271.0
No formal education,2022,55.9,1388.0,1569.0
Primary,2022,333.5,1559.0,1806.0
Secondary,2022,5349.4,1865.0,2360.0
Tertiary,2022,4257.6,3881.0,4430.0
No formal education,2023,55.9,1436.0,1810.0
Primary,2023,335.1,1565.0,2026.0
Secondary,2023,5396.7,1916.0,2536.0
Tertiary,2023,4317.7,4024.0,4703.0
No formal education,2024,51.2,1559.0,1900.0
Primary,2024,318.6,1644.0,2128.0
Secondary,2024,5420.1,2046.0,2684.0
Tertiary,2024,4448.5,4131.0,4962.0
